Date,Open,High,Low,Close,WeightedPrice,Volume,SMA_30,EMA_40,Altcoin_EMA_40,DASH,DOGE,ETC,ETH,LTC,SC,XEM,XMR,XRP,ZEC,Day_of_Week,CLF,CNYUSDX,DJI,EURUSDX,GCF,GSPC,IXIC,JPYUSDX,TSLA,VIX,XWDTO,Cost_per_TR,Num_TR_per_Block,Bu_Be_Spread_MA8
2014-01-20,842.94951,849.0725,821.0550000000001,833.4464725,835.94224345425,11975.316447019999,785.3484490905,783.9082919016021,22.872592713613678,3.9327141442610425,0.00027759535729034873,1.8534500356489274,4.443730620979287,23.65716548975528,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Monday,94.9899978638,0.1655546874,16414.439453125,1.3527590036000001,1242.3000488281,1843.8000488281,4225.759765625,0.0095934309,35.3359985352,12.8699998856,29.480682373,49.638133695,322.0,0.1957038035714286
2014-01-21,831.52,837.6799975,817.1225,827.37,826.9701627915,10513.69800933,791.8220380261333,786.0088709694019,22.327712776856036,3.9327141442610425,0.0018524131646529601,1.8534500356489274,4.443730620979287,23.40325560699945,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Tuesday,94.9899978638,0.1654862016,16414.439453125,1.3549033403,1242.3000488281,1843.8000488281,4225.759765625,0.009594626700000001,35.3359985352,12.8699998856,29.5426883698,49.9180525469,437.2108433735,0.19486678571428576
2014-01-22,826.1724999999999,828.97536,809.1,823.0049975,820.8735936602501,11156.35399286,797.9203941558916,787.7095891494432,21.80520509773746,3.9327141442610425,0.0018880092654185753,1.8534500356489274,4.443730620979287,23.23072270058508,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Wednesday,96.7300033569,0.1655464768,16373.33984375,1.3559137583,1239.0,1844.8599853516,4243.0,0.0095948111,35.7120018005,12.8400001526,29.835018158,57.1559702174,395.0,0.19402976785714293
2014-01-23,821.9775,826.3922474999999,808.4,818.4072424999999,817.5013260017499,10317.03961177,803.5443924050501,789.1628446056533,21.305849746100726,3.9327141442610425,0.0015532525194033248,1.8534500356489274,4.443730620979287,23.135287525849524,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Thursday,97.3199996948,0.16552729900000002,16197.349609375,1.3542244434000001,1262.5999755859,1828.4599609375,4218.8798828125,0.0095570311,36.2999992371,13.7700004578,29.6489944458,57.1371952926,391.0,0.19319275000000008
2014-01-24,816.4572425,818.3460675,773.5625,785.7329125,794.96273927125,27248.76025049,807.9116327993917,789.445766296658,20.827380979823886,3.9327141442610425,0.001907910574251,1.8534500356489274,4.443730620979287,22.992572164276687,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Friday,96.6399993896,0.16551359000000002,15879.1103515625,1.3689066172,1264.5,1790.2900390625,4128.169921875,0.0096739866,34.9199981689,18.1399993896,28.9668998718,60.4198836401,347.0899470899,0.19039471428571436
2014-01-25,786.56234,817.7625,781.466195,807.0525,802.904203652,13267.051134010002,810.5324145107083,790.1022754359429,20.356988498917442,3.9327141442610425,0.00143719852453708,1.8534500356489274,4.443730620979287,22.367233043959086,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Saturday,96.6399993896,0.16551359000000002,15879.1103515625,1.3689066172,1264.5,1790.2900390625,4128.169921875,0.0096739866,34.9199981689,18.1399993896,28.9668998718,60.4198836401,347.0899470899,0.19039471428571436
2014-01-26,808.5274999999999,838.70295,800.625,819.2353475,822.44145852175,17230.70025297,813.8042968496777,791.6797965620798,19.874844642401467,3.9327141442610425,0.0019738595004521998,1.8534500356489274,4.443730620979287,20.944105021179425,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Sunday,96.6399993896,0.16551359000000002,15879.1103515625,1.3689066172,1264.5,1790.2900390625,4128.169921875,0.0096739866,34.9199981689,18.1399993896,28.9668998718,60.4198836401,347.0899470899,0.19039471428571436
2014-01-27,819.782755,829.8074750000001,743.8725,760.5349999999999,790.0458974527501,42322.76578101,816.1297034286695,791.6000941665027,19.293089156733366,3.9327141442610425,0.00129567527182251,1.8534500356489274,4.443730620979287,15.89641869713909,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Monday,95.7200012207,0.16559307280000002,15837.8798828125,1.3687942028,1263.5999755859,1781.5600585938,4083.6101074219,0.0097991182,33.9239997864,17.4200000763,28.8960323334,64.6542065212,369.9655172414,0.1820006071428572
2014-01-28,759.755,817.755,751.661,795.9475,787.4725886115,32396.97020385,818.4868090731084,791.3987524321124,18.800566783488378,3.9327141442610425,0.001299329771208975,1.8534500356489274,4.443730620979287,18.391461680651016,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Tuesday,97.4100036621,0.16561502220000002,15928.5595703125,1.3674652576000002,1251.0,1792.5,4097.9599609375,0.009740796900000001,35.6759986877,15.8000001907,29.1794967651,51.5435017642,303.0,0.1792025714285715
2014-01-29,794.8699999999999,812.0239275,786.9449999999999,795.93025,799.10959716475,10775.18669385,820.6240246455111,791.774891199558,18.341657086746594,3.9327141442610425,0.0010628157642291174,1.8534500356489274,4.443730620979287,18.78477318479941,6.34368298587024e-05,0.0005934478169376025,0.6783680492256439,0.007776764202958372,9855.274557822922,Wednesday,97.3600006104,0.16553823650000002,15738.7900390625,1.3655046225,1262.1999511719,1774.1999511719,4051.4299316406,0.0096870121,35.0460014343,17.3500003815,28.8605957031,52.6579853576,389.0,0.17640453571428577
